id,name,lat,lon
581,"45.38,  6.38",45.375,6.375
582,"45.88,  6.38",45.875,6.375
583,"46.38,  6.38",46.375,6.375
584,"46.88,  6.38",46.875,6.375
585,"47.38,  6.38",47.375,6.375
586,"47.88,  6.38",47.875,6.375
587,"48.38,  6.38",48.375,6.375
588,"48.88,  6.38",48.875,6.375
589,"49.38,  6.38",49.375,6.375
590,"49.88,  6.38",49.875,6.375
591,"50.38,  6.38",50.375,6.375
592,"50.88,  6.38",50.875,6.375
593,"51.38,  6.38",51.375,6.375
594,"51.88,  6.38",51.875,6.375
595,"52.38,  6.38",52.375,6.375
596,"52.88,  6.38",52.875,6.375
597,"53.38,  6.38",53.375,6.375
607,"45.88,  6.88",45.875,6.875
608,"46.38,  6.88",46.375,6.875
609,"46.88,  6.88",46.875,6.875
610,"47.38,  6.88",47.375,6.875
611,"47.88,  6.88",47.875,6.875
612,"48.38,  6.88",48.375,6.875
613,"48.88,  6.88",48.875,6.875
614,"49.38,  6.88",49.375,6.875
615,"49.88,  6.88",49.875,6.875
616,"50.38,  6.88",50.375,6.875
617,"50.88,  6.88",50.875,6.875
618,"51.38,  6.88",51.375,6.875
619,"51.88,  6.88",51.875,6.875
620,"52.38,  6.88",52.375,6.875
621,"52.88,  6.88",52.875,6.875
622,"53.38,  6.88",53.375,6.875
632,"45.88,  7.38",45.875,7.375
633,"46.38,  7.38",46.375,7.375
634,"46.88,  7.38",46.875,7.375
635,"47.38,  7.38",47.375,7.375
636,"47.88,  7.38",47.875,7.375
637,"48.38,  7.38",48.375,7.375
638,"48.88,  7.38",48.875,7.375
639,"49.38,  7.38",49.375,7.375
640,"49.88,  7.38",49.875,7.375
641,"50.38,  7.38",50.375,7.375
642,"50.88,  7.38",50.875,7.375
643,"51.38,  7.38",51.375,7.375
644,"51.88,  7.38",51.875,7.375
645,"52.38,  7.38",52.375,7.375
646,"52.88,  7.38",52.875,7.375
647,"53.38,  7.38",53.375,7.375
648,"53.88,  7.38",53.875,7.375
658,"46.38,  7.88",46.375,7.875
659,"46.88,  7.88",46.875,7.875
660,"47.38,  7.88",47.375,7.875
661,"47.88,  7.88",47.875,7.875
662,"48.38,  7.88",48.375,7.875
663,"48.88,  7.88",48.875,7.875
664,"49.38,  7.88",49.375,7.875
665,"49.88,  7.88",49.875,7.875
666,"50.38,  7.88",50.375,7.875
667,"50.88,  7.88",50.875,7.875
668,"51.38,  7.88",51.375,7.875
669,"51.88,  7.88",51.875,7.875
670,"52.38,  7.88",52.375,7.875
671,"52.88,  7.88",52.875,7.875
672,"53.38,  7.88",53.375,7.875
673,"53.88,  7.88",53.875,7.875
683,"46.38,  8.38",46.375,8.375
684,"46.88,  8.38",46.875,8.375
685,"47.38,  8.38",47.375,8.375
686,"47.88,  8.38",47.875,8.375
687,"48.38,  8.38",48.375,8.375
688,"48.88,  8.38",48.875,8.375
689,"49.38,  8.38",49.375,8.375
690,"49.88,  8.38",49.875,8.375
691,"50.38,  8.38",50.375,8.375
692,"50.88,  8.38",50.875,8.375
693,"51.38,  8.38",51.375,8.375
694,"51.88,  8.38",51.875,8.375
695,"52.38,  8.38",52.375,8.375
696,"52.88,  8.38",52.875,8.375
697,"53.38,  8.38",53.375,8.375
698,"53.88,  8.38",53.875,8.375
699,"54.38,  8.38",54.375,8.375
700,"54.88,  8.38",54.875,8.375
709,"46.88,  8.88",46.875,8.875
710,"47.38,  8.88",47.375,8.875
711,"47.88,  8.88",47.875,8.875
712,"48.38,  8.88",48.375,8.875
713,"48.88,  8.88",48.875,8.875
714,"49.38,  8.88",49.375,8.875
715,"49.88,  8.88",49.875,8.875
716,"50.38,  8.88",50.375,8.875
717,"50.88,  8.88",50.875,8.875
718,"51.38,  8.88",51.375,8.875
719,"51.88,  8.88",51.875,8.875
720,"52.38,  8.88",52.375,8.875
721,"52.88,  8.88",52.875,8.875
722,"53.38,  8.88",53.375,8.875
723,"53.88,  8.88",53.875,8.875
724,"54.38,  8.88",54.375,8.875
725,"54.88,  8.88",54.875,8.875
734,"46.88,  9.38",46.875,9.375
735,"47.38,  9.38",47.375,9.375
736,"47.88,  9.38",47.875,9.375
737,"48.38,  9.38",48.375,9.375
738,"48.88,  9.38",48.875,9.375
739,"49.38,  9.38",49.375,9.375
740,"49.88,  9.38",49.875,9.375
741,"50.38,  9.38",50.375,9.375
742,"50.88,  9.38",50.875,9.375
743,"51.38,  9.38",51.375,9.375
744,"51.88,  9.38",51.875,9.375
745,"52.38,  9.38",52.375,9.375
746,"52.88,  9.38",52.875,9.375
747,"53.38,  9.38",53.375,9.375
748,"53.88,  9.38",53.875,9.375
749,"54.38,  9.38",54.375,9.375
750,"54.88,  9.38",54.875,9.375
