EEA_SQUARE;MAPX;MAPY;PARTNER_ID;DATE_YEAR;DATE_WEEK;SPECIES_CD;COMP_LISTS;CASUAL_EV;RECORDS;NUM_COUNTS;MAX_COUNT;AV_COUNT
10kmE350N252;3505000.00;2525000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N253;3505000.00;2535000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N254;3505000.00;2545000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N263;3505000.00;2635000.00;France;2016;38;OENOEN;;3;4;4;2;1.75
10kmE350N269;3505000.00;2695000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE350N271;3505000.00;2715000.00;France;2016;38;OENOEN;;2;2;2;2;1.50
10kmE350N278;3505000.00;2785000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE350N279;3505000.00;2795000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE350N281;3505000.00;2815000.00;France;2016;38;OENOEN;1;;1;1;1;1.00
10kmE351N252;3515000.00;2525000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE351N270;3515000.00;2705000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE352N254;3525000.00;2545000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE352N261;3525000.00;2615000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE352N262;3525000.00;2625000.00;France;2016;38;OENOEN;;2;2;2;6;3.50
10kmE352N275;3525000.00;2755000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE352N280;3525000.00;2805000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE352N281;3525000.00;2815000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE352N298;3525000.00;2985000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE353N246;3535000.00;2465000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE353N258;3535000.00;2585000.00;France;2016;38;OENOEN;;1;3;3;5;3.00
10kmE353N262;3535000.00;2625000.00;France;2016;38;OENOEN;;3;3;3;3;2.33
10kmE353N275;3535000.00;2755000.00;France;2016;38;OENOEN;;5;5;5;2;1.20
10kmE354N258;3545000.00;2585000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE354N268;3545000.00;2685000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE354N275;3545000.00;2755000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE354N280;3545000.00;2805000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE355N251;3555000.00;2515000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE355N254;3555000.00;2545000.00;France;2016;38;OENOEN;;1;4;4;3;2.00
10kmE355N260;3555000.00;2605000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE355N261;3555000.00;2615000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE355N262;3555000.00;2625000.00;France;2016;38;OENOEN;;2;2;2;15;8.00
10kmE355N263;3555000.00;2635000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE355N271;3555000.00;2715000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE356N242;3565000.00;2425000.00;France;2016;38;OENOEN;;1;1;1;6;6.00
10kmE356N276;3565000.00;2765000.00;France;2016;38;OENOEN;;1;1;1;19;19.00
10kmE356N287;3565000.00;2875000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE357N257;3575000.00;2575000.00;France;2016;38;OENOEN;;4;6;6;12;7.00
10kmE358N244;3585000.00;2445000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE358N247;3585000.00;2475000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE358N266;3585000.00;2665000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE358N271;3585000.00;2715000.00;France;2016;38;OENOEN;;1;1;1;9;9.00
10kmE358N275;3585000.00;2755000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE359N256;3595000.00;2565000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE359N265;3595000.00;2655000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE359N275;3595000.00;2755000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE359N282;3595000.00;2825000.00;France;2016;38;OENOEN;;2;2;2;2;1.50
10kmE360N266;3605000.00;2665000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE360N271;3605000.00;2715000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE361N262;3615000.00;2625000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE361N279;3615000.00;2795000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE361N299;3615000.00;2995000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE362N205;3625000.00;2055000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE362N256;3625000.00;2565000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE362N273;3625000.00;2735000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE363N272;3635000.00;2725000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE363N274;3635000.00;2745000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE364N255;3645000.00;2555000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE365N218;3655000.00;2185000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE365N219;3655000.00;2195000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE365N256;3655000.00;2565000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE366N218;3665000.00;2185000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE366N234;3665000.00;2345000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE366N248;3665000.00;2485000.00;France;2016;38;OENOEN;;1;2;2;1;1.00
10kmE366N256;3665000.00;2565000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE367N220;3675000.00;2205000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE367N222;3675000.00;2225000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE367N237;3675000.00;2375000.00;France;2016;38;OENOEN;;1;1;1;4;4.00
10kmE367N248;3675000.00;2485000.00;France;2016;38;OENOEN;1;2;3;3;4;2.33
10kmE368N226;3685000.00;2265000.00;France;2016;38;OENOEN;;4;7;7;4;1.71
10kmE368N231;3685000.00;2315000.00;France;2016;38;OENOEN;;1;3;3;2;1.33
10kmE369N225;3695000.00;2255000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE369N230;3695000.00;2305000.00;France;2016;38;OENOEN;;5;5;5;2;1.40
10kmE369N247;3695000.00;2475000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE369N256;3695000.00;2565000.00;France;2016;38;OENOEN;;2;2;2;3;2.50
10kmE371N287;3715000.00;2875000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE371N288;3715000.00;2885000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE371N289;3715000.00;2895000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE371N292;3715000.00;2925000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE372N219;3725000.00;2195000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE372N226;3725000.00;2265000.00;France;2016;38;OENOEN;;1;2;2;2;1.50
10kmE372N227;3725000.00;2275000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE372N259;3725000.00;2595000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE372N284;3725000.00;2845000.00;France;2016;38;OENOEN;;3;4;4;2;1.50
10kmE372N285;3725000.00;2855000.00;France;2016;38;OENOEN;;2;2;2;2;1.50
10kmE372N286;3725000.00;2865000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE372N291;3725000.00;2915000.00;France;2016;38;OENOEN;;1;3;3;4;3.66
10kmE373N219;3735000.00;2195000.00;France;2016;38;OENOEN;;4;4;4;19;7.25
10kmE373N222;3735000.00;2225000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE373N226;3735000.00;2265000.00;France;2016;38;OENOEN;;2;2;2;6;3.50
10kmE373N238;3735000.00;2385000.00;France;2016;38;OENOEN;;1;2;2;10;5.50
10kmE373N250;3735000.00;2505000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE373N284;3735000.00;2845000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE374N219;3745000.00;2195000.00;France;2016;38;OENOEN;;2;6;6;2;1.16
10kmE374N221;3745000.00;2215000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE374N227;3745000.00;2275000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE374N248;3745000.00;2485000.00;France;2016;38;OENOEN;;1;3;3;4;2.66
10kmE374N249;3745000.00;2495000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE375N224;3755000.00;2245000.00;France;2016;38;OENOEN;;3;3;3;2;1.33
10kmE375N226;3755000.00;2265000.00;France;2016;38;OENOEN;;1;2;2;15;8.50
10kmE375N246;3755000.00;2465000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE375N261;3755000.00;2615000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE376N235;3765000.00;2355000.00;France;2016;38;OENOEN;;1;2;2;3;2.00
10kmE376N241;3765000.00;2415000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE376N245;3765000.00;2455000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE376N246;3765000.00;2465000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE376N247;3765000.00;2475000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE376N253;3765000.00;2535000.00;France;2016;38;OENOEN;;3;3;3;6;4.00
10kmE377N239;3775000.00;2395000.00;France;2016;38;OENOEN;;1;1;1;7;7.00
10kmE377N240;3775000.00;2405000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
