"Tint","oper_mod","Hint","class","mtrf","nEcho","mean_dir","sd_dir_Mardia72","sd_dir_Batschelet84","med_dir","meanSpeed","sdSpeed","medSpeed","nFlightBehav","is_night","sunset_date","tstepS","RecS","RainS","RecH","tstepH","mtr"
2016-09-02 10:00:00,"M",1000,"bird",24.3680904211406,6,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,104.43467323346
2016-09-02 10:00:00,"S",1000,"bird",140.488875213068,9,301.03753,72.043363330447,59.8948390109844,301.03753,13.69703,15.9998041328574,13.69703,2,0,"20160902",3600,1680,0,0.466666666666667,1,301.047589742288
2016-09-02 11:00:00,"L",1000,"bird",1.50747275080222,1,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,840,13,0.233333333333333,1,6.46059750343809
2016-09-02 11:00:00,"M",1000,"bird",7.81065547710336,2,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,840,6,0.233333333333333,1,33.4742377590144
2016-09-02 11:00:00,"S",1000,"bird",54.3622776706866,4,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,1680,0,0.466666666666667,1,116.490595008614
2016-09-02 12:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,0
2016-09-02 12:00:00,"M",1000,"bird",1.90778599672839,1,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,840,10,0.233333333333333,1,8.17622570026453
2016-09-02 12:00:00,"S",1000,"bird",13.011805499253,2,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,1680,8,0.466666666666667,1,27.8824403555421
2016-09-02 13:00:00,"L",1000,"bird",8.96087726212408,2,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,840,10,0.233333333333333,1,38.4037596948175
2016-09-02 13:00:00,"M",1000,"bird",12.2412874572742,2,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,840,0,0.233333333333333,1,52.4626605311753
2016-09-02 13:00:00,"S",1000,"bird",16.6494643169633,1,NA,NA,NA,NA,NA,NA,NA,0,0,"20160902",3600,1680,9,0.466666666666667,1,35.6774235363499
2016-09-02 14:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,8,0.233333333333333,1,0
